Page,Section,Rq_No,Function_name,Function description,Integration(If any)
Book Wash,Confirm Booking,26.11.3,Create Booking,Call wash_booking_enhanced.create_wash_booking,wash_booking_enhanced.create_wash_booking
Book Wash,Confirm Booking,26.11.4,Show Success,Display success message with wash number,frappe.msgprint
Book Wash,Confirm Booking,26.11.5,Show Booking Details,Display booking_id and washes remaining,Success data
Book Wash,Confirm Booking,26.11.6,Redirect,Navigate to /customer/booking/payment-history after 3 seconds,Navigation
Book Wash,Confirm Booking,26.11.7,Handle Error,Display error message,frappe.msgprint
,,,,,
BULK BOOKING PAGE,,,,,
Bulk Booking,Page Access,27.1.1,Authentication Check,Redirect to /login if user is Guest,Session management
Bulk Booking,Page Access,27.1.2,Get Subscription ID,Extract subscription_id parameter from URL,URL params
Bulk Booking,Page Access,27.1.3,Validate Subscription ID,Check if subscription_id provided,Validation
Bulk Booking,Page Header,27.2.1,Display Title,Show Bulk Book Your Washes heading,UI display
Bulk Booking,Page Header,27.2.2,Display Subtitle,Show Schedule your entire month in just a few clicks,UI display
Bulk Booking,Stepper,27.3.1,Display Step 1,Show Allowance step as active,UI stepper
Bulk Booking,Stepper,27.3.2,Display Step 2,Show Schedule step,UI stepper
Bulk Booking,Stepper,27.3.3,Display Step 3,Show Confirm step,UI stepper
Bulk Booking,Stepper,27.3.4,Update Active Step,Highlight current step,CSS styling
Bulk Booking,Stepper,27.3.5,Mark Completed Steps,Show checkmark for completed steps,CSS styling
Bulk Booking,Step 1 Allowance,27.4.1,Fetch Allowance,Call bulk_booking_api.get_service_allowance,bulk_booking_api.get_service_allowance
Bulk Booking,Step 1 Allowance,27.4.2,Display Washes Remaining,Show total washes available,Allowance data
Bulk Booking,Step 1 Allowance,27.4.3,Display Service Cards,Show each service with remaining credits,UI cards
Bulk Booking,Step 1 Allowance,27.4.4,Show Service Icon,Display emoji icon based on service type,UI display
Bulk Booking,Step 1 Allowance,27.4.5,Show Service Name,Display addon_name,Service data
Bulk Booking,Step 1 Allowance,27.4.6,Show Credits,Display remaining quantity,Service data
Bulk Booking,Step 1 Allowance,27.4.7,Display Preferences,Show preferred_days and preferred_slot,Allowance data
Bulk Booking,Step 1 Allowance,27.4.8,Start Scheduling Button,Navigate to Step 2,Navigation
Bulk Booking,Step 2 Schedule,27.5.1,Initialize Config,Create empty bookingsConfig array,Client-side state
Bulk Booking,Step 2 Schedule,27.5.2,Fetch Suggestions,Call bulk_booking_api.get_suggested_schedule,bulk_booking_api.get_suggested_schedule
Bulk Booking,Step 2 Schedule,27.5.3,Pre-fill Dates,Apply suggested dates to bookingsConfig,Client-side state
Bulk Booking,Step 2 Schedule,27.5.4,Load Vehicles,Fetch subscription vehicles,subscription_flow_api.get_subscription_details
Bulk Booking,Step 2 Schedule,27.5.5,Display Wash Counter,Show Wash X of Y,UI display
Bulk Booking,Step 2 Schedule,27.5.6,Previous Wash Button,Navigate to previous wash configuration,Navigation
Bulk Booking,Step 2 Schedule,27.5.7,Next Wash Button,Navigate to next wash configuration,Navigation
Bulk Booking,Step 2 Schedule,27.5.8,Disable Navigation,Disable prev on first wash and next on last,UI state
Bulk Booking,Calendar Display,27.6.1,Render Calendar,Display month calendar with navigation,JavaScript Date
Bulk Booking,Calendar Display,27.6.2,Month Navigation,Show prev/next month buttons,UI buttons
Bulk Booking,Calendar Display,27.6.3,Fetch Availability,Call bulk_booking_api.get_calendar_availability,bulk_booking_api.get_calendar_availability
Bulk Booking,Calendar Display,27.6.4,Mark Available Days,Highlight days with available slots in green,CSS styling
Bulk Booking,Calendar Display,27.6.5,Disable Past Dates,Mark dates before today as disabled,Date validation
Bulk Booking,Calendar Display,27.6.6,Show Wash Badges,Display W1 W2 badges on selected dates,UI badges
Bulk Booking,Calendar Display,27.6.7,Edit Wash Badge,Click badge to edit that wash configuration,Event handler
Bulk Booking,Calendar Display,27.6.8,Select Date,Store date in bookingsConfig[currentWashIndex],Client-side state
Bulk Booking,Calendar Display,27.6.9,Clear Date Button,Clear selected date and time,UI button
Bulk Booking,Time Slot Display,27.7.1,Fetch Slots,Call booking.get_available_slots for selected date,booking.get_available_slots
Bulk Booking,Time Slot Display,27.7.2,Display Slot Pills,Show time slots in grid,UI pills
Bulk Booking,Time Slot Display,27.7.3,Show Time,Display formatted start_time,Slot data
Bulk Booking,Time Slot Display,27.7.4,Disable Full Slots,Mark slots with capacity=0 as disabled,Slot validation
Bulk Booking,Time Slot Display,27.7.5,Select Slot,Store time in bookingsConfig[currentWashIndex],Client-side state
Bulk Booking,Service Selection,27.8.1,Display Service Grid,Show available services with remaining credits,UI grid
Bulk Booking,Service Selection,27.8.2,Calculate Availability,Subtract services used by other washes,Client-side calculation
Bulk Booking,Service Selection,27.8.3,Group by Category,Show EXTERIOR/INTERIOR/Add-ons sections,UI sections
Bulk Booking,Service Selection,27.8.4,Display Service Cards,Show each service with available count,UI cards
Bulk Booking,Service Selection,27.8.5,Disable Exhausted,Disable services with 0 remaining,UI state
Bulk Booking,Service Selection,27.8.6,Toggle Service,Add/remove from selected_services,Client-side state
Bulk Booking,Validation,27.9.1,Validate Date,Check date selected for current wash,Form validation
Bulk Booking,Validation,27.9.2,Validate Time,Check time slot selected,Form validation
Bulk Booking,Validation,27.9.3,Validate Past Date,Prevent booking on past dates,Date validation
Bulk Booking,Validation,27.9.4,Validate Gap,Check min_gap_days between consecutive washes,Date validation
Bulk Booking,Validation,27.9.5,Show Gap Error,Display error with minimum gap requirement,frappe.msgprint
Bulk Booking,Step 3 Summary,27.10.1,Display Summary Cards,Show each wash configuration,UI cards
Bulk Booking,Step 3 Summary,27.10.2,Show Wash Number,Display Wash #X,Summary data
Bulk Booking,Step 3 Summary,27.10.3,Show Date,Display booking date,Summary data
Bulk Booking,Step 3 Summary,27.10.4,Show Time,Display formatted time slot,Summary data
Bulk Booking,Step 3 Summary,27.10.5,Show Services Count,Display number of services selected,Summary data
Bulk Booking,Step 3 Summary,27.10.6,Show Service Names,List selected service names,Summary data
Bulk Booking,Step 3 Summary,27.10.7,Back Button,Navigate to Step 2,Navigation
Bulk Booking,Step 3 Summary,27.10.8,Confirm All Button,Submit all bookings,UI button
Bulk Booking,Confirm Bookings,27.11.1,Validate All Washes,Check all washes have date and time,Form validation
Bulk Booking,Confirm Bookings,27.11.2,Show Validation Error,Display error for incomplete wash,frappe.msgprint
Bulk Booking,Confirm Bookings,27.11.3,Redirect to Invalid,Navigate to incomplete wash configuration,Navigation
Bulk Booking,Confirm Bookings,27.11.4,Create Bookings,Call bulk_booking_api.create_bulk_bookings,bulk_booking_api.create_bulk_bookings
Bulk Booking,Confirm Bookings,27.11.5,Show Processing,Display spinner during creation,UI loading state
Bulk Booking,Confirm Bookings,27.11.6,Show Success,Display success message,frappe.msgprint
Bulk Booking,Confirm Bookings,27.11.7,Redirect,Navigate to /customer/bookings after 2 seconds,Navigation
Bulk Booking,Confirm Bookings,27.11.8,Handle Error,Display error message and re-enable button,frappe.msgprint
